date,value
2022-7-27 00:49,82
2022-7-27 00:50,601
2022-7-27 00:51,512
2022-7-27 00:52,565
2022-7-27 00:53,490
2022-7-27 01:04,213
2022-7-27 01:05,561
2022-7-27 01:06,574
2022-7-27 01:07,517
2022-7-27 01:08,385
2022-7-27 01:15,245
2022-7-27 01:16,287
2022-7-27 01:17,296
2022-7-27 01:18,281
2022-7-27 01:19,265
2022-7-27 01:20,234
2022-7-27 01:21,232
2022-7-27 01:22,219
2022-7-27 01:23,191
2022-7-27 01:26,11
2022-7-27 01:27,197
2022-7-27 01:28,196
2022-7-27 01:29,190
2022-7-27 01:30,190
2022-7-27 01:31,188
2022-7-27 01:32,188
2022-7-27 01:33,173
2022-7-27 01:34,192
2022-7-27 01:35,185
2022-7-27 01:36,191
2022-7-27 01:37,186
2022-7-27 01:38,163
2022-7-27 01:39,140
2022-7-27 01:40,148
2022-7-27 01:41,173
2022-7-27 01:42,149
2022-7-27 01:43,151
2022-7-27 01:44,170
2022-7-27 01:45,154
2022-7-27 01:46,189
2022-7-27 01:47,140
2022-7-27 01:48,137
2022-7-27 01:49,147
2022-7-27 01:50,142
2022-7-27 01:51,136
2022-7-27 01:52,146
2022-7-27 01:53,150
2022-7-27 01:54,147
2022-7-27 01:55,141
2022-7-27 01:56,148
2022-7-27 01:57,135
2022-7-27 01:58,148
2022-7-27 01:59,116
2022-7-27 02:00,106
2022-7-27 02:01,132
2022-7-27 02:02,106
2022-7-27 02:03,98
2022-7-27 02:04,130
2022-7-27 02:05,105
2022-7-27 02:06,105
2022-7-27 02:07,114
2022-7-27 02:08,101
2022-7-27 02:09,91
2022-7-27 02:10,125
2022-7-27 02:11,104
2022-7-27 02:12,108
2022-7-27 02:13,91
2022-7-27 02:14,99
2022-7-27 02:15,100
2022-7-27 02:16,96
2022-7-27 02:17,109
2022-7-27 02:18,98
2022-7-27 02:19,89
2022-7-27 02:20,79
2022-7-27 02:21,73
2022-7-27 02:22,91
2022-7-27 02:23,77
2022-7-27 02:24,95
2022-7-27 02:25,73
2022-7-27 02:26,80
2022-7-27 02:27,71
2022-7-27 02:28,84
2022-7-27 02:29,82
2022-7-27 02:30,73
2022-7-27 02:31,66
2022-7-27 02:32,79
2022-7-27 02:33,70
2022-7-27 02:34,61
2022-7-27 02:35,77
2022-7-27 02:36,74
2022-7-27 02:37,74
2022-7-27 02:38,66
2022-7-27 02:39,78
2022-7-27 02:40,70
2022-7-27 02:41,53
2022-7-27 02:42,63
2022-7-27 02:43,67
2022-7-27 02:44,62
2022-7-27 02:45,70
2022-7-27 02:46,76
2022-7-27 02:47,62
2022-7-27 02:48,53
2022-7-27 02:49,69
2022-7-27 02:50,63
2022-7-27 02:51,56
2022-7-27 02:52,64
2022-7-27 02:53,58
2022-7-27 02:54,60
2022-7-27 02:55,70
2022-7-27 02:56,64
2022-7-27 02:57,53
2022-7-27 02:58,50
2022-7-27 02:59,65
2022-7-27 03:00,60
2022-7-27 03:01,76
2022-7-27 03:02,53
2022-7-27 03:03,59
2022-7-27 03:04,69
2022-7-27 03:05,48
2022-7-27 03:06,61
2022-7-27 03:07,60
2022-7-27 03:08,61
2022-7-27 03:09,48
2022-7-27 03:10,65
2022-7-27 03:11,52
2022-7-27 03:12,48
2022-7-27 03:13,73
2022-7-27 03:14,47
2022-7-27 03:15,45
2022-7-27 03:16,41
2022-7-27 03:17,62
2022-7-27 03:18,48
2022-7-27 03:19,46
2022-7-27 03:20,43
2022-7-27 03:21,47
2022-7-27 03:22,48
2022-7-27 03:23,63
2022-7-27 03:24,43
2022-7-27 03:25,41
2022-7-27 03:26,45
2022-7-27 03:27,45
2022-7-27 03:28,57
2022-7-27 03:29,45
2022-7-27 03:30,48
2022-7-27 03:31,30
2022-7-27 03:32,48
2022-7-27 03:33,50
2022-7-27 03:34,55
2022-7-27 03:35,49
2022-7-27 03:36,55
2022-7-27 03:37,42
2022-7-27 03:38,42
2022-7-27 03:39,45
2022-7-27 03:40,40
2022-7-27 03:41,45
2022-7-27 03:42,40
2022-7-27 03:43,43
2022-7-27 03:44,50
2022-7-27 03:45,36
2022-7-27 03:46,32
2022-7-27 03:47,28
2022-7-27 03:48,48
2022-7-27 03:49,38
2022-7-27 03:50,37
2022-7-27 03:51,45
2022-7-27 03:52,46
2022-7-27 03:53,41
2022-7-27 03:54,41
2022-7-27 03:55,26
2022-7-27 03:56,36
2022-7-27 03:57,44
2022-7-27 03:58,42
2022-7-27 03:59,52
2022-7-27 04:00,33
