date,retweets,favorite_count
1,73,0
2,7,1
3,1,3
4,1,45
5,557,0
6,20,1
7,5,2
8,7,3
9,1,4
10,1,5
11,1,7
12,2,8
13,1,11
14,1,16
15,1,32
16,1,38
17,1,69
18,1,78
19,1,239
20,472,0
21,24,1
22,5,2
23,3,3
24,1,4
25,1,9
26,1,10
27,1,12
28,1,13
29,1,15
30,1,28
31,1,64
32,510,0
33,35,1
34,7,2
35,3,3
36,2,4
37,2,5
38,2,6
39,2,7
40,1,8
41,1,36
42,479,0
43,6,1
44,3,2
45,1,3
46,1,22
47,205,0
48,7,1
49,1,11
50,533,0
51,15,1
52,1,2
53,4,3
54,2,4
55,1,5
56,1,18
57,1,37
58,1,95
59,1,107
60,1,154
61,549,0
62,13,1
63,7,2
64,2,3
65,1,5
66,1,18
67,1,31
68,504,0
69,10,1
70,1,2
71,2,3
72,376,0
73,8,1
74,1,29
75,236,0
76,5,1
77,2,3
78,1,6
79,1,21
80,280,0
81,2,1
82,2,3
83,1,4
84,1,32
85,1,35
86,281,0
87,6,1
88,3,2
89,1,3
90,1,4
91,1,5
92,1,6
93,1,8
94,1,19
95,261,0
96,11,1
97,3,2
98,1,4
99,2,6
100,1,8
101,2,11
102,252,0
103,6,1
104,1,2
105,1,3
106,1,6
107,1,9
108,1,10
109,1,17
110,1,19
111,226,0
112,3,1
113,2,2
114,1,3
115,1,5
116,1,18
117,225,0
118,4,1
119,1,2
120,2,3
121,211,0
122,5,1
123,1,2
124,1,5
125,1,8
126,190,0
127,1,6
128,10,0
129,1,1
130,186,0
131,1,1
132,3,2
133,1,3
134,1,4
135,1,5
136,1,8
137,1,13
138,1,18
139,1,120
140,185,0
141,6,1
142,1,2
143,1,10
144,1,26
145,1,76
146,1,202
147,184,0
148,2,1
149,1,3
150,1,13
151,1,20
152,1,138
153,179,0
154,3,1
155,2,2
156,3,3
157,1,4
158,1,49
159,1,210
160,185,0
161,1,1
162,2,2
163,178,0
164,4,1
165,2,2
166,2,3
167,1,4
168,1,25
169,167,0
170,2,1
171,2,2
172,1,3
173,1,4
174,185,0
175,2,1
176,2,2
177,1,6
178,1,7
179,1,10
180,174,0
181,3,1
182,2,2
183,3,3
184,1,5
185,1,6
186,1,13
187,183,0
188,6,1
189,1,2
190,1,45
191,182,0
192,4,1
193,162,0
194,1,1
195,133,0
196,1,1
197,1,2
198,2,3
199,1,4
200,1,9
201,1,298
202,135,0
203,3,1
204,5,2
205,1,3
206,2,5
207,1,12
208,1,69
209,162,0
210,4,1
211,4,2
212,1,11
213,1,12
214,1,14
215,140,0
216,2,1
217,3,2
218,3,3
219,1,32
220,141,0
221,4,1
222,2,2
223,1,3
224,2,6
225,1,9
226,163,0
227,1,1
228,1,2
229,2,3
230,1,5
231,1,6
232,1,14
233,147,0
234,1,1
235,1,2
236,1,4
237,1,5
238,1,6
239,1,23
240,1,160
241,181,0
242,4,1
243,1,2
244,1,3
245,1,6
246,1,21
247,137,0
248,1,1
249,1,4
250,1,10
251,134,0
252,1,1
253,1,3
254,1,9
255,139,0
256,3,1
257,2,2
258,1,3
259,1,4
260,1,6
261,139,0
262,1,1
263,1,2
264,1,3
265,127,0
266,4,1
267,1,4
268,2,5
269,1,6
270,1,15
271,140,0
272,2,1
273,2,2
274,2,5
275,136,0
276,7,1
277,3,2
278,2,3
279,1,6
280,1,15
281,139,0
282,4,1
283,3,2
284,1,3
285,132,0
286,2,1
287,1,2
288,3,3
289,1,4
290,1,8
291,1,12
292,137,0
293,2,1
294,2,2
295,1,3
296,1,4
297,1,7
298,1,9
299,1,17
300,1,50
301,1,86
302,126,0
303,4,1
304,2,2
305,2,4
306,1,38
307,142,0
308,4,1
309,1,2
310,1,3
311,108,0
312,3,1
313,3,3
314,1,4
315,1,19
316,103,0
317,2,1
318,1,35
319,123,0
320,3,1
321,1,3
322,2,4
323,1,8
324,1,9
325,1,90
326,101,0
327,4,1
328,1,2
329,92,0
330,1,1
331,2,2
332,1,4
333,1,8
334,1,10
335,124,0
336,4,1
337,1,5
338,1,8
339,100,0
340,2,2
341,1,4
342,1,6
343,1,22
344,97,0
345,3,1
346,1,2
347,1,3
348,2,8
349,1,10
350,110,0
351,3,1
352,1,2
353,91,0
354,2,1
355,1,2
356,1,3
357,1,7
358,1,8
359,2,10
360,1,12
361,1,26
362,83,0
363,1,1
364,1,2
365,2,4
366,1,5
367,1,14
368,1,25
369,1,36
370,120,0
371,1,1
372,1,3
373,2,5
374,1,6
375,99,0
376,2,1
377,2,3
378,1,5
379,97,0
380,8,1
381,2,2
382,1,3
383,82,0
384,3,1
385,2,2
386,1,3
387,2,4
388,1,10
389,92,0
390,4,1
391,1,4
392,1,6
393,1,195
394,93,0
395,2,1
396,2,2
397,1,3
398,1,4
399,1,15
400,90,0
401,3,1
402,1,2
403,1,20
404,1,21
405,98,0
406,5,1
407,3,2
408,1,3
409,1,6
410,1,46
411,94,0
412,3,1
413,1,3
414,84,0
415,2,1
416,1,3
417,1,6
418,1,18
419,75,0
420,1,1
421,1,2
422,2,4
423,68,0
424,4,1
425,1,6
426,82,0
427,3,1
428,1,3
429,1,4
430,1,12
431,1,26
432,1,30
433,1,97
434,71,0
435,1,1
436,2,2
437,1,3
438,1,6
439,1,7
440,87,0
441,2,1
442,3,2
443,2,4
444,1,22
445,69,0
446,1,2
447,1,4
448,1,11
449,1,15
450,78,0
451,2,1
452,61,0
453,5,1
454,2,2
455,1,3
456,1,4
457,1,13
458,78,0
459,2,1
460,1,4
461,1,6
462,1,7
463,1,11
464,75,0
465,4,1
466,1,4
467,1,6
468,1,37
469,68,0
470,3,1
471,1,3
472,1,9
473,61,0
474,1,1
475,1,2
476,2,4
477,1,15
478,71,0
479,3,1
480,2,2
481,1,4
482,1,5
483,1,7
484,65,0
485,1,1
486,3,2
487,1,11
488,55,0
489,1,1
490,2,2
491,2,3
492,1,19
493,69,0
494,2,1
495,1,3
496,2,4
497,1,7
498,1,9
499,1,16
500,68,0
501,3,1
502,1,3
503,1,9
504,1,19
505,67,0
506,3,1
507,1,2
508,2,6
509,1,50
510,60,0
511,2,1
512,2,2
513,1,3
514,1,10
515,76,0
516,1,1
517,1,10
518,63,0
519,4,1
520,2,4
521,1,5
522,48,0
523,2,1
524,2,2
525,1,3
526,59,0
527,1,1
528,1,4
529,1,7
530,1,8
531,66,0
532,1,1
533,56,0
534,4,1
535,1,2
536,1,3
537,62,0
538,3,1
539,2,2
540,1,3
541,1,4
542,1,9
543,69,0
544,3,1
545,1,6
546,1,7
547,1,8
548,1,24
549,58,0
550,2,1
551,1,4
552,1,19
553,45,0
554,2,1
555,3,2
556,1,4
557,1,20
558,1,47
559,65,0
560,1,1
561,1,3
562,1,5
563,1,10
564,58,0
565,2,1
566,1,3
567,1,6
568,1,10
569,51,0
570,1,1
571,1,2
572,1,3
573,1,5
574,1,8
575,58,0
576,1,2
577,2,4
578,1,9
579,1,14
580,1,17
581,51,0
582,6,1
583,1,4
584,56,0
585,2,1
586,1,3
587,1,5
588,66,0
589,2,1
590,1,3
591,1,48
592,57,0
593,2,1
594,2,3
595,1,4
596,1,6
597,1,41
598,49,0
599,1,2
600,1,3
601,1,27
602,1,36
603,49,0
604,1,4
605,60,0
606,4,1
607,1,2
608,52,0
609,2,1
610,1,2
611,1,3
612,1,5
613,1,14
614,1,25
615,1,27
616,73,0
617,1,3
618,1,5
619,1,122
620,49,0
621,2,2
622,1,8
623,1,38
624,57,0
625,1,1
626,1,9
627,66,0
628,1,1
629,1,6
630,1,34
631,45,0
632,1,1
633,1,3
634,1,22
635,61,0
636,57,0
637,1,1
638,1,3
639,1,47
640,56,0
641,2,1
642,3,3
643,44,0
644,2,1
645,2,2
646,61,0
647,2,1
648,1,2
649,1,4
650,52,0
651,45,0
652,1,1
653,1,2
654,1,14
655,70,0
656,1,1
657,2,3
658,43,0
659,2,2
660,1,3
661,1,46
662,40,0
663,1,1
664,1,2
665,1,5
666,1,14
667,1,15
668,38,0
669,2,1
670,1,5
671,59,0
672,1,1
673,1,4
674,1,10
675,46,0
676,1,7
677,1,16
678,43,0
679,1,1
680,1,2
681,1,4
682,37,0
683,2,1
684,1,2
685,1,3
686,1,4
687,1,22
688,43,0
689,2,1
690,2,3
691,45,0
692,1,2
693,2,8
694,58,0
695,2,1
696,1,3
697,1,17
698,1,39
699,41,0
700,1,2
701,1,22
702,36,0
703,2,3
704,1,4
705,1,8
706,1,17
707,42,0
708,2,1
709,1,4
710,41,0
711,2,1
712,1,2
713,1,51
714,51,0
715,3,1
716,1,2
717,1,3
718,1,5
719,44,0
720,1,2
721,47,0
722,1,1
723,28,0
724,1,1
725,1,3
726,44,0
727,1,1
728,2,3
729,1,5
730,48,0
731,1,1
732,1,3
733,48,0
734,4,1
735,1,2
736,1,4
737,1,52
738,46,0
739,1,1
740,1,2
741,1,11
742,51,0
743,1,2
744,1,4
745,1,12
746,1,53
747,39,0
748,2,1
749,1,3
750,38,0
751,2,1
752,1,2
753,1,4
754,43,0
755,1,1
756,1,2
757,34,0
758,3,1
759,1,2
760,1,17
761,1,18
762,41,0
763,2,1
764,1,6
765,1,22
766,36,0
767,2,1
768,1,2
769,1,10
770,43,0
771,44,0
772,3,1
773,1,2
774,1,3
775,1,4
776,31,0
777,1,1
778,1,2
779,1,3
780,1,8
781,1,12
782,31,0
783,1,1
784,27,0
785,1,32
786,47,0
787,1,55
788,33,0
789,3,1
790,1,9
791,1,40
792,32,0
793,3,1
794,1,4
795,1,7
796,42,0
797,2,1
798,1,10
799,42,0
800,1,1
801,1,2
802,1,3
803,1,12
804,34,0
805,3,1
806,4,2
807,40,0
808,1,1
809,21,0
810,2,1
811,2,3
812,1,19
813,33,0
814,3,1
815,38,0
816,2,1
817,1,3
818,1,7
819,1,11
820,1,31
821,38,0
822,1,1
823,1,2
824,1,6
825,1,27
826,51,0
827,1,39
828,29,0
829,1,1
830,1,2
831,1,3
832,1,4
833,26,0
834,3,1
835,2,3
836,1,6
837,1,17
838,32,0
839,1,1
840,2,2
841,28,0
842,2,1
843,24,0
844,2,1
845,1,3
846,25,0
847,1,1
848,1,48
849,28,0
850,1,42
851,32,0
852,1,1
853,32,0
854,2,1
855,25,0
856,1,27
857,30,0
858,1,8
859,1,12
860,30,0
861,1,1
862,1,29
863,28,0
864,1,1
865,1,16
866,31,0
867,1,3
868,1,39
869,26,0
870,2,3
871,23,0
872,2,1
873,1,3
874,2,21
875,28,0
876,3,1
877,1,3
878,43,0
879,1,8
880,32,0
881,1,1
882,1,3
883,29,0
884,2,1
885,2,2
886,37,0
887,1,1
888,1,6
889,43,0
890,2,1
891,1,84
892,37,0
893,2,1
894,2,2
895,1,4
896,30,0
897,1,1
898,1,2
899,34,0
900,1,1
901,1,2
902,1,12
903,29,0
904,1,1
905,1,15
906,1,17
907,26,0
908,2,2
909,1,3
910,3,6
911,1,7
912,26,0
913,3,1
914,1,2
915,1,6
916,31,0
